left_x,left_y,right_x,right_y
1.5000142560615077e-08,-2.8499999999999996,1.4999857439384924e-08,2.8499999999999996
0.3030303178789304,-2.849999999999985,0.3030303178786453,2.8500000000000147
0.6060606207577183,-2.8499999999999694,0.6060606207574332,2.8500000000000303
0.9090909236365061,-2.8499999999999543,0.909090923636221,2.850000000000045
1.212121226515294,-2.8499999999999392,1.212121226515009,2.8500000000000605
1.5151515293940818,-2.849999999999924,1.5151515293937967,2.8500000000000756
1.8181818322728696,-2.849999999999909,1.8181818322725845,2.8500000000000907
2.1212121351516573,-2.849999999999894,2.121212135151372,2.850000000000106
2.4242424380304453,-2.849999999999879,2.42424243803016,2.8500000000001213
2.727272740909233,-2.8499999999998638,2.727272740908948,2.850000000000136
3.030303043788021,-2.849999999999848,3.030303043787736,2.8500000000001515
3.333333346666809,-2.8499999999998336,3.333333346666524,2.8500000000001666
3.6363636495455967,-2.849999999999818,3.6363636495453115,2.8500000000001817
3.939393952424384,-2.849999999999803,3.939393952424099,2.850000000000197
4.242424255303172,-2.849999999999788,4.242424255302887,2.850000000000212
4.5454545581819605,-2.8499999999997727,4.545454558181675,2.850000000000227
4.848484861060748,-2.849999999999757,4.848484861060463,2.850000000000242
5.151515163939536,-2.8499999999997425,5.1515151639392505,2.850000000000257
5.454545466818324,-2.849999999999727,5.454545466818039,2.8500000000002728
5.757575769697112,-2.849999999999712,5.757575769696826,2.8500000000002874
6.060606072575899,-2.8499999999996968,6.060606072575615,2.850000000000303
6.363636375454687,-2.8499999999996817,6.363636375454401,2.850000000000318
6.666666678333476,-2.8499999999996666,6.666666678333191,2.850000000000333
6.969696981212263,-2.8499999999996515,6.969696981211978,2.8500000000003483
7.272727284091051,-2.8499999999996364,7.272727284090766,2.850000000000364
7.575757586969838,-2.8499999999996213,7.575757586969553,2.8500000000003785
7.878787889848626,-2.8499999999996057,7.878787889848341,2.850000000000394
8.181818192727414,-2.849999999999591,8.18181819272713,2.850000000000409
8.484848495606203,-2.8499999999995755,8.484848495605917,2.850000000000424
8.78787879848499,-2.8499999999995604,8.787878798484705,2.8500000000004393
